RowID,BatchID,OPEN DATE,MID,MERCHAN DBA NAME,STATUS EDC,MSO,SOURCE CODE,POS1,WILAYAH,CHANNEL,TYPE MID
1543350,20187,2018-07-09,207127424,KARYA PRATAMA MBL        ,01,BDP,B1X2DG090902248PG1,1,WPD,BDP,EDC
1706835,20184,2018-04-18,204160683,AFSHEEN BATIK GALLERY MBL,01,0  ,                  ,1,WBN,MBA,EDC
1674294,20186,2018-06-07,205123391,ALDILA BAKERY MBL        ,01,   ,                  ,1,WSM,MBA,EDC
1674293,20186,2018-06-07,205123383,ALDILA RESTO MBL         ,01,   ,                  ,1,WSM,MBA,EDC
1446853,20189,2018-09-12,216077099,ANGKASA CAFE.MBL         ,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1710608,20184,2018-04-30,214100075,AUREL SHOP MBL           ,01,10 ,U1X2RN000939125000,1,WJB,MBA,EDC
1789118,20182,2018-02-07,210223855,AVIA TOUR SENCY 2        ,01,   ,                  ,1,WJS,MBA,EDC
1480752,20188,2018-08-09,210291746,BAZAR INDOMARET          ,02,   ,                  ,1,WJS,MBA,EDC
1446877,20189,2018-09-19,216077578,BENGKEL ELDIRA OIL.MBL   ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446875,20189,2018-09-12,216077479,BENGKEL ISTANA MOTOR.MBL ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446869,20189,2018-09-12,216077396,BENGKEL KAWANUA MOTOR.MBL,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446857,20189,2018-09-12,216077131,BENGKEL MOBIL ACUN MOTOR.,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446867,20189,2018-09-19,216077370,BINTANG GRAFIKA BRILIAN.M,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446858,20189,2018-09-04,216077149,CAFE BIAK.MBL            ,01,K96,                  ,1,WPU,MBA,EDC
1412155,201810,2018-10-19,216077974,DJ.VARIASI DAN PENCUCIAN ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446872,20189,2018-09-12,216077446,EMHA SALON.MBL           ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1543313,20187,2018-07-19,206033409,FASHION & CRAFT 2018     ,01,   ,U1X2RF000240014PG1,1,WSY,MBA,EDC
1482565,20188,2018-08-23,216076828,GRAND MART. MBL          ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1482575,20188,2018-08-28,216077081,KERAJINAN ROTAN SANIANJUL,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1756111,20181,2018-01-29,201120953,KHARISNA MBL             ,01,A13,B1X2MA133138090PG1,1,WMD,MBA,EDC
1446860,20189,2018-09-12,216077222,KIOS DEPOL.MBL           ,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446879,20189,2018-09-19,216077602,KRISNA TEXS.MBL          ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446855,20189,2018-09-12,216077115,MINI MARKET BINTANG TABI.,02,K96,B1X2MK292098PG1   ,1,WPU,MBA,EDC
1482567,20188,2018-08-23,216076935,PENCUCIAN MOBIL ARHAMIN.M,01,K96,B1X2MK292071PG1   ,1,WPU,MBA,EDC
1446873,20189,2018-09-12,216077453,RAJA CELL.MBL            ,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1412151,201810,2018-10-19,216077834,RM FUJI RASA.MBL         ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412156,201810,2018-10-19,216077982,RM.NUSA INDAH.MBL        ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412147,201810,2018-10-02,216077776,RUMAH MAKAN ANDRIE.MBL   ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446861,20189,2018-09-19,216077230,RUMAH MAKAN BERKAH.MBL   ,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1412154,201810,2018-10-19,216077933,RUMAH MAKAN MARANLI.MBL  ,00,K96,B1X2MK292098268PR1,1,WPU,MBA,EDC
1412159,201810,2018-10-18,216078014,RUMAH MAKAN YUDISYAH.MBL ,02,K96,B1X2MK292098268PR1,1,WPU,MBA,EDC
1482569,20188,2018-08-23,216076950,SALON AYU.MBL            ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446881,20189,2018-09-19,216077628,SALSA CELULER.MBL        ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412158,201810,2018-10-19,216078006,SARKON MANAWARA PAPUA.MBL,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1482570,20188,2018-08-23,216076968,SHINE SALON.MBL          ,01,K96,B1X2MK292071PG1   ,1,WPU,MBA,EDC
1446880,20189,2018-09-19,216077610,SUMBER KASIH.MBL         ,01,K96,B1X2MK292098268PR1,1,WPU,MBA,EDC
1446878,20189,2018-09-19,216077594,TERABYTE KOMPUTINDO.MBL  ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1482573,20188,2018-08-28,216077065,TIMUNG SUKA-SUKA.MBL     ,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1412146,201810,2018-10-02,216077768,TOKO ANUGERAH ABADI.MBL  ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446876,20189,2018-09-12,216077487,TOKO ANUGERAH JAYA.MBL   ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1412145,201810,2018-10-02,216077750,TOKO ANUGERAH.MBL        ,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412152,201810,2018-10-19,216077842,TOKO BANGUNAN POWER.MBL  ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412150,201810,2018-10-02,216077826,TOKO CAHAYA UTAMA.MBL    ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446882,20189,2018-09-19,216077636,TOKO CAHAYA.MBL          ,01,K96,B1X2MK292098268PR1,1,WPU,MBA,EDC
1412144,201810,2018-10-02,216077743,TOKO DISC ELEKTRONIK.MBL ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412160,201810,2018-10-19,216078022,TOKO DUTA KARYA.MBL      ,00,K96,B1X2MK292098268PR1,1,WPU,MBA,EDC
1446870,20189,2018-09-12,216077404,TOKO IRJA SAUDARA.MBL    ,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446865,20189,2018-09-04,216077354,TOKO JAVA CELL.MBL       ,01,K96,                  ,1,WPU,MBA,EDC
1412157,201810,2018-10-19,216077990,TOKO JAYA PRATAMA.MBL    ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1446874,20189,2018-09-12,216077461,TOKO KARYA LESTARI.MBL   ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1412149,201810,2018-10-02,216077818,TOKO LESTARI.MBL         ,02,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1482572,20188,2018-08-28,216077057,TOKO R3.MBL              ,02,K96,B1X2MK292071268PR1,1,WPU,MBA,EDC
1446854,20189,2018-09-12,216077107,TOKO SENTRA ELEKTRIK.MBL ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1482574,20188,2018-08-28,216077073,TOKO SINAR SENTOSA.MBL   ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446871,20189,2018-09-19,216077438,TOKO SUMBER REJEKI.MBL   ,02,K96,B1X2MK292071268PR1,1,WPU,MBA,EDC
1482564,20188,2018-08-23,216076653,TOKO TISDA.MBL           ,01,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1482571,20188,2018-08-28,216077040,TOKO VARIASI ARTA KOMPUTE,02,K96,B1X2MK292071268PG1,1,WPU,MBA,EDC
1446868,20189,2018-09-12,216077388,TRAVEL PANTURA.MBL       ,02,K96,B1X2MK292098300PG1,1,WPU,MBA,EDC
1482566,20188,2018-08-23,216076927,UD.ABADI PS.MBL          ,01,K96,B1X2MK292071PG1   ,1,WPU,MBA,EDC
1412153,201810,2018-10-02,216077925,WAHYU MOTOR.MBL          ,01,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
1412148,201810,2018-10-19,216077800,WARUNG KOPI WERIFELY.MBL ,00,K96,B1X2MK292098268PG1,1,WPU,MBA,EDC
